Date,RSI
2022-12-08,N/A
2022-12-09,N/A
2022-12-12,N/A
2022-12-13,N/A
2022-12-14,N/A
2022-12-15,N/A
2022-12-16,N/A
2022-12-19,N/A
2022-12-20,N/A
2022-12-21,N/A
2022-12-22,N/A
2022-12-23,N/A
2022-12-27,N/A
2022-12-28,N/A
2022-12-29,34.78
2022-12-30,35.86
2023-01-03,52.37
2023-01-04,46.52
2023-01-05,41.72
2023-01-06,39.03
2023-01-09,37.80
2023-01-10,34.44
2023-01-11,36.80
2023-01-12,35.73
2023-01-13,32.24
2023-01-17,37.24
2023-01-18,33.85
2023-01-19,34.06
2023-01-20,34.85
2023-01-23,41.87
2023-01-24,44.85
2023-01-25,42.24
2023-01-26,37.77
2023-01-27,48.96
2023-01-30,49.21
2023-01-31,56.12
2023-02-01,65.21
2023-02-02,59.16
2023-02-03,64.90
2023-02-06,61.92
2023-02-07,56.98
2023-02-08,55.31
2023-02-09,60.54
2023-02-10,59.27
2023-02-13,51.23
2023-02-14,59.01
2023-02-15,60.55
2023-02-16,62.39
2023-02-17,62.47
2023-02-21,64.17
2023-02-22,71.89
2023-02-23,62.52
2023-02-24,58.67
2023-02-27,55.87
2023-02-28,56.96
2023-03-01,55.74
2023-03-02,49.70
2023-03-03,50.15
2023-03-06,51.06
2023-03-07,52.19
2023-03-08,52.40
2023-03-09,49.64
2023-03-10,45.17
2023-03-13,44.75
2023-03-14,47.02
2023-03-15,42.26
2023-03-16,44.03
2023-03-17,41.93
2023-03-20,43.78
2023-03-21,39.25
2023-03-22,42.70
2023-03-23,48.51
2023-03-24,46.18
2023-03-27,45.23
2023-03-28,45.44
2023-03-29,43.19
2023-03-30,37.79
2023-03-31,47.83
2023-04-03,46.55
2023-04-04,52.25
2023-04-05,59.65
2023-04-06,56.44
2023-04-10,55.80
2023-04-11,59.95
2023-04-12,59.90
2023-04-13,53.91
2023-04-14,55.92
2023-04-17,53.51
2023-04-18,54.78
2023-04-19,60.50
2023-04-20,61.62
2023-04-21,61.89
2023-04-24,62.78
2023-04-25,65.06
2023-04-26,55.16
2023-04-27,55.65
2023-04-28,55.16
2023-05-01,53.89
2023-05-02,49.44
2023-05-03,57.56
2023-05-04,59.97
2023-05-05,61.68
2023-05-08,54.22
2023-05-09,58.65
2023-05-10,63.64
2023-05-11,66.30
2023-05-12,58.22
2023-05-15,58.48
2023-05-16,64.19
2023-05-17,62.90
2023-05-18,55.21
2023-05-19,47.40
2023-05-22,52.16
2023-05-23,52.76
2023-05-24,53.25
2023-05-25,54.94
2023-05-26,55.92
2023-05-30,61.31
2023-05-31,66.27
2023-06-01,67.98
2023-06-02,64.82
2023-06-05,64.50
2023-06-06,70.51
2023-06-07,72.83
2023-06-08,74.59
2023-06-09,69.98
2023-06-12,62.49
2023-06-13,64.27
2023-06-14,66.31
2023-06-15,64.48
2023-06-16,73.06
2023-06-20,70.40
2023-06-21,68.19
2023-06-22,73.22
2023-06-23,68.89
2023-06-26,70.92
2023-06-27,73.07
2023-06-28,62.78
2023-06-29,64.23
2023-06-30,64.08
2023-07-03,69.37
2023-07-05,65.76
2023-07-06,62.10
2023-07-07,65.56
2023-07-10,59.18
2023-07-11,60.20
2023-07-12,59.41
2023-07-13,65.08
2023-07-14,65.38
2023-07-17,63.50
2023-07-18,63.99
2023-07-19,63.49
2023-07-20,64.73
2023-07-21,67.05
2023-07-24,65.07
2023-07-25,58.66
2023-07-26,59.40
2023-07-27,60.47
2023-07-28,56.09
2023-07-31,61.86
2023-08-01,68.37
2023-08-02,68.40
2023-08-03,69.22
2023-08-04,62.76
2023-08-07,64.08
2023-08-08,65.41
2023-08-09,56.40
2023-08-10,53.41
2023-08-11,50.61
2023-08-14,43.69
2023-08-15,54.44
2023-08-16,51.36
2023-08-17,58.19
2023-08-18,58.81
2023-08-21,50.90
2023-08-22,45.70
2023-08-23,65.18
2023-08-24,65.05
2023-08-25,64.32
2023-08-28,62.99
2023-08-29,61.10
2023-08-30,57.65
2023-08-31,58.99
2023-09-01,61.55
2023-09-05,55.46
2023-09-06,52.11
2023-09-07,45.52
2023-09-08,49.33
2023-09-11,51.63
2023-09-12,50.56
2023-09-13,53.93
2023-09-14,46.82
2023-09-15,49.22
2023-09-18,48.50
2023-09-19,51.47
2023-09-20,51.72
2023-09-21,59.38
2023-09-22,55.64
2023-09-25,52.73
2023-09-26,48.08
2023-09-27,53.48
2023-09-28,56.59
2023-09-29,61.78
2023-10-02,58.87
2023-10-03,64.33
2023-10-04,59.42
2023-10-05,55.22
2023-10-06,52.03
2023-10-09,51.76
2023-10-10,41.49
2023-10-11,40.41
2023-10-12,38.14
2023-10-13,39.72
2023-10-16,34.31
2023-10-17,32.43
2023-10-18,40.86
2023-10-19,39.68
2023-10-20,41.23
2023-10-23,38.50
2023-10-24,39.89
2023-10-25,36.41
2023-10-26,40.90
2023-10-27,46.07
2023-10-30,47.81
2023-10-31,52.20
2023-11-01,53.60
2023-11-02,49.21
2023-11-03,48.65
2023-11-06,47.69
2023-11-07,49.17
2023-11-08,44.13
2023-11-09,38.38
2023-11-10,45.35
2023-11-13,42.52
2023-11-14,35.02
2023-11-15,45.65
2023-11-16,51.09
